zona,PrecioActual,metros,habitaciones,ascensor,localizacion,planta,baños
retiro,1495000,206,3,S,EXTERIOR,BAJO,2
chamberi,795000,95,2,S,EXTERIOR,1ª,2
ciudad-lineal,290500,81,3,N,EXTERIOR,4ª,0
barrio-de-salamanca,950000,145,4,S,EXTERIOR,2ª,3
retiro,1149000,119,2,S,INTERIOR,3ª,2
arganzuela,176000,37,1,N,INTERIOR,-1,0
fuencarral,960000,138,3,S,EXTERIOR,7ª,0
usera,250000,100,4,S,EXTERIOR,5ª,0
moratalaz,215000,55,2,S,EXTERIOR,BAJO,0
chamberi,4315000,459,5,S,EXTERIOR,2ª,0
hortaleza,1240000,293,4,S,EXTERIOR,8ª,0
ciudad-lineal,350000,65,3,N,EXTERIOR,4ª,0
centro,350000,51,1,S,INTERIOR,1ª,1
villaverde,375000,127,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,680000,93,3,S,INTERIOR,6ª,1
tetuan,590000,78,3,S,EXTERIOR,1ª,0
barrio-de-salamanca,1359000,101,2,S,INTERIOR,1ª,2
usera,200000,60,1,N,EXTERIOR,BAJO,0
retiro,3780000,306,4,S,EXTERIOR,5ª,0
tetuan,145000,31,1,N,INTERIOR,1ª,0
chamberi,986210,133,2,S,EXTERIOR,9ª,3
san-blas,435000,64,2,S,EXTERIOR,4ª,0
barajas,870000,149,4,S,EXTERIOR,BAJO,0
centro,399000,72,3,S,INTERIOR,4ª,0
chamberi,845000,112,5,S,EXTERIOR,1ª,0
villaverde,118000,63,1,S,EXTERIOR,4ª,0
barrio-de-salamanca,1300000,121,3,S,EXTERIOR,1ª,0
usera,625000,127,4,S,EXTERIOR,6ª,0
centro,248000,37,1,S,INTERIOR,2ª,1
barrio-de-salamanca,1200000,124,3,S,EXTERIOR,2ª,3
usera,330000,107,3,S,EXTERIOR,1ª,0
retiro,550000,85,3,S,INTERIOR,1ª,2
chamberi,1070000,179,4,S,EXTERIOR,5ª,0
centro,1400000,170,2,S,EXTERIOR,4ª,0
barrio-de-salamanca,3795000,283,4,S,EXTERIOR,4ª,1
puente-de-vallecas,220000,81,2,N,EXTERIOR,1ª,0
retiro,1679000,133,2,S,EXTERIOR,4ª,1
centro,315000,67,2,N,EXTERIOR,BAJO,0
fuencarral,1399000,186,4,S,EXTERIOR,4ª,1
chamartin,560000,96,1,S,EXTERIOR,BAJO,0
fuencarral,1036500,104,3,S,EXTERIOR,4ª,0
centro,409000,66,2,N,EXTERIOR,5ª,1
barrio-de-salamanca,1550000,148,3,S,INTERIOR,1ª,3
centro,370000,40,1,N,EXTERIOR,2ª,0
ciudad-lineal,249000,74,3,N,EXTERIOR,3ª,0
chamartin,720000,90,2,S,EXTERIOR,5ª,2
retiro,915000,115,3,S,INTERIOR,5ª,1
centro,2250000,173,2,S,EXTERIOR,5ª,0
moratalaz,250000,54,2,N,EXTERIOR,3ª,0
puente-de-vallecas,179900,54,2,N,EXTERIOR,3ª,1
arganzuela,675000,130,3,S,EXTERIOR,3ª,0
chamartin,675000,105,4,S,EXTERIOR,3ª,0
chamberi,3600000,240,4,S,EXTERIOR,1ª,0
chamberi,379000,57,1,N,INTERIOR,BAJO,0
barrio-de-salamanca,750000,113,2,S,EXTERIOR,6ª,0
latina,198000,67,2,N,INTERIOR,BAJO,0
moratalaz,370000,80,2,S,EXTERIOR,3ª,0
centro,260000,36,1,S,INTERIOR,2ª,0
tetuan,171990,110,2,N,EXTERIOR,SÓTANO,1
retiro,1150000,158,4,S,EXTERIOR,3ª,0
puente-de-vallecas,205000,65,2,N,EXTERIOR,ENTREPLANTA,0
villa-de-vallecas,563000,129,3,S,EXTERIOR,1ª,0
chamberi,375000,40,1,N,INTERIOR,4ª,0
latina,399000,104,4,S,EXTERIOR,7ª,0
centro,375000,55,2,S,INTERIOR,3ª,0
barrio-de-salamanca,298000,35,1,S,INTERIOR,1ª,1
carabanchel,395000,99,4,S,EXTERIOR,8ª,0
barrio-de-salamanca,1489000,137,3,S,EXTERIOR,3ª,0
carabanchel,75000,73,3,N,EXTERIOR,SÓTANO,1
barrio-de-salamanca,850000,133,3,S,EXTERIOR,5ª,0
moratalaz,229000,64,2,N,EXTERIOR,2ª,0
centro,3300000,137,2,S,EXTERIOR,9ª,2
retiro,3800000,232,3,S,EXTERIOR,4ª,3
barrio-de-salamanca,3480000,176,2,S,EXTERIOR,5ª,0
